# Undirected graph (each unordered pair of nodes is saved once): output_final.txt
# Nodes: 3000 Edges: 92119
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	40
0	41
0	42
0	43
0	44
0	45
0	46
0	47
0	48
0	49
0	50
0	51
0	52
0	53
0	54
0	55
0	56
0	57
0	58
0	59
0	60
0	61
0	62
0	63
0	64
0	65
0	66
0	67
0	68
0	69
0	70
0	71
0	72
0	73
0	74
0	75
0	76
0	77
0	78
0	79
0	81
0	82
0	85
0	91
0	97
0	99
0	103
0	107
0	111
0	117
0	119
0	122
0	125
0	134
0	135
0	142
0	143
0	148
0	149
0	154
0	170
0	173
0	180
0	187
0	206
0	211
0	212
0	223
0	253
0	272
0	278
0	299
0	316
0	332
0	333
0	345
0	360
0	448
0	449
0	458
0	475
0	491
0	497
0	522
0	539
0	549
0	596
0	601
0	624
0	721
0	778
0	807
0	980
0	1000
0	1044
0	1061
0	1119
0	1183
0	1253
0	1265
0	1295
0	1459
0	1478
0	1517
0	1562
0	1742
0	2045
0	2059
0	2171
0	2242
0	2332
0	2580
0	2823
0	2914
0	2941
0	2946
1	80
1	87
1	88
1	91
1	93
1	98
1	100
1	106
1	107
1	108
1	110
1	111
1	113
1	123
1	129
1	130
1	140
1	157
1	164
1	170
1	176
1	185
1	215
1	243
1	285
1	305
1	343
1	355
1	372
1	376
1	384
1	386
1	389
1	402
1	452
1	506
1	570
1	625
1	636
1	660
1	749
1	805
1	851
1	924
1	985
1	1091
1	1101
1	1145
1	1192
1	1214
1	1284
1	1301
1	1335
1	1355
1	1451
1	1581
1	1816
1	1849
1	2014
1	2086
1	2299
1	2503
1	2550
1	2559
1	2743
1	2802
2	85
2	88
2	91
2	95
2	97
2	100
2	102
2	104
2	105
2	114
2	115
2	121
2	122
2	130
2	146
2	154
2	165
2	171
2	172
2	175
2	176
2	178
2	196
2	261
2	279
2	285
2	357
2	364
2	411
2	463
2	468
2	544
2	566
2	676
2	677
2	727
2	748
2	813
2	847
2	907
2	924
2	1040
2	1210
2	1311
2	1531
2	1577
2	1654
2	1656
2	2000
2	2191
2	2455
2	2502
2	2525
2	2562
2	2623
2	2748
2	2932
3	81
3	82
3	85
3	88
3	90
3	92
3	93
3	101
3	102
3	107
3	109
3	119
3	124
3	136
3	143
3	147
3	153
3	160
3	163
3	168
3	175
3	183
3	186
3	191
3	228
3	232
3	242
3	263
3	270
3	272
3	279
3	297
3	339
3	341
3	350
3	378
3	386
3	390
3	407
3	415
3	464
3	504
3	508
3	586
3	643
3	755
3	761
3	801
3	826
3	846
3	854
3	898
3	1064
3	1073
3	1108
3	1160
3	1302
3	1407
3	1587
3	1802
3	1889
3	1890
3	1905
3	1932
3	2472
3	2749
4	82
4	83
4	84
4	85
4	89
4	90
4	95
4	98
4	101
4	105
4	106
4	107
4	113
4	119
4	125
4	126
4	131
4	132
4	141
4	152
4	156
4	187
4	188
4	192
4	194
4	195
4	199
4	201
4	204
4	213
4	216
4	224
4	250
4	253
4	286
4	296
4	311
4	382
4	393
4	407
4	414
4	416
4	441
4	592
4	634
4	639
4	666
4	697
4	707
4	721
4	766
4	811
4	822
4	951
4	981
4	986
4	1053
4	1055
4	1111
4	1147
4	1206
4	1210
4	1244
4	1275
4	1277
4	1316
4	1332
4	1523
4	1855
4	1866
4	1872
4	1941
4	1943
4	2347
4	2432
4	2709
5	86
5	88
5	90
5	93
5	94
5	97
5	101
5	102
5	121
5	127
5	128
5	130
5	135
5	139
5	153
5	164
5	172
5	177
5	178
5	182
5	198
5	202
5	305
5	343
5	371
5	382
5	479
5	505
5	528
5	538
5	600
5	614
5	616
5	637
5	655
5	657
5	673
5	700
5	724
5	729
5	763
5	764
5	819
5	827
5	839
5	1068
5	1226
5	1289
5	1303
5	1316
5	1432
5	1635
5	1698
5	1718
5	1745
5	1795
5	1883
5	2178
5	2186
5	2259
5	2338
5	2452
5	2623
5	2856
6	81
6	85
6	86
6	88
6	90
6	95
6	96
6	99
6	102
6	105
6	107
6	112
6	116
6	119
6	120
6	121
6	122
6	129
6	134
6	164
6	180
6	187
6	200
6	203
6	244
6	279
6	286
6	294
6	296
6	327
6	338
6	346
6	407
6	420
6	433
6	455
6	549
6	551
6	575
6	598
6	670
6	688
6	698
6	699
6	720
6	794
6	834
6	929
6	934
6	1010
6	1139
6	1210
6	1220
6	1273
6	1311
6	1462
6	1712
6	1747
6	1749
6	1830
6	1893
6	2064
6	2207
6	2342
6	2379
6	2514
6	2680
6	2971
7	82
7	84
7	87
7	88
7	90
7	92
7	93
7	97
7	98
7	99
7	102
7	106
7	107
7	114
7	120
7	125
7	130
7	142
7	153
7	159
7	167
7	169
7	176
7	177
7	182
7	187
7	199
7	225
7	239
7	246
7	261
7	272
7	333
7	339
7	379
7	402
7	409
7	426
7	434
7	448
7	489
7	490
7	531
7	548
7	553
7	560
7	581
7	588
7	597
7	743
7	799
7	830
7	835
7	845
7	935
7	936
7	940
7	960
7	1005
7	1102
7	1124
7	1166
7	1275
7	1442
7	1466
7	1588
7	1681
7	1892
7	1912
7	2073
7	2099
7	2102
7	2157
7	2213
7	2246
7	2343
7	2359
7	2360
7	2463
7	2807
7	2872
8	80
8	82
8	84
8	87
8	88
8	89
8	93
8	95
8	96
8	98
8	101
8	102
8	103
8	107
8	117
8	120
8	121
8	124
8	125
8	130
8	138
8	163
8	191
8	203
8	217
8	234
8	236
8	239
8	267
8	272
8	279
8	284
8	304
8	340
8	345
8	361
8	378
8	393
8	435
8	450
8	492
8	493
8	541
8	544
8	554
8	606
8	622
8	647
8	702
8	732
8	734
8	748
8	802
8	884
8	905
8	964
8	983
8	1195
8	1247
8	1253
8	1331
8	1468
8	1471
8	1555
8	1666
8	1904
8	2072
8	2147
8	2153
8	2228
8	2348
8	2484
8	2552
8	2746
8	2748
8	2762
9	80
9	85
9	88
9	90
9	92
9	93
9	97
9	98
9	107
9	113
9	120
9	122
9	125
9	140
9	144
9	146
9	147
9	155
9	159
9	161
9	190
9	209
9	220
9	222
9	223
9	233
9	241
9	256
9	276
9	323
9	402
9	414
9	429
9	442
9	498
9	546
9	556
9	569
9	580
9	625
9	693
9	808
9	830
9	875
9	885
9	958
9	1187
9	1201
9	1259
9	1574
9	1612
9	1804
9	1952
9	2059
9	2122
9	2230
9	2271
9	2333
9	2380
9	2441
9	2484
9	2577
10	80
10	83
10	84
10	85
10	87
10	88
10	97
10	101
10	102
10	103
10	107
10	110
10	114
10	127
10	130
10	149
10	152
10	166
10	167
10	171
10	198
10	200
10	204
10	231
10	242
10	260
10	264
10	277
10	279
10	311
10	318
10	339
10	348
10	375
10	401
10	428
10	463
10	509
10	512
10	521
10	559
10	564
10	669
