Modularity: 0.110698
Average ClustCf: 0.063559
0	0
0	82
0	97
0	117
0	122
0	134
0	142
0	189
0	206
0	208
0	211
0	223
0	253
0	332
0	333
0	341
0	360
0	378
0	449
0	475
0	484
0	491
0	505
0	514
0	539
0	547
0	549
0	596
0	624
0	655
0	675
0	721
0	733
0	782
0	812
0	880
0	906
0	980
0	992
0	1000
0	1035
0	1044
0	1055
0	1061
0	1070
0	1089
0	1113
0	1138
0	1183
0	1189
0	1197
0	1220
0	1246
0	1251
0	1265
0	1270
0	1329
0	1346
0	1443
0	1478
0	1517
0	1533
0	1562
0	1580
0	1599
0	1608
0	1621
0	1630
0	1637
0	1674
0	1680
0	1699
0	1710
0	1742
0	1788
0	1813
0	1822
0	1823
0	1859
0	1860
0	1883
0	1914
0	1915
0	1920
0	1958
0	1973
0	2017
0	2037
0	2045
0	2059
0	2095
0	2128
0	2132
0	2142
0	2175
0	2178
0	2228
0	2239
0	2242
0	2268
0	2281
0	2283
0	2319
0	2332
0	2407
0	2421
0	2453
0	2467
0	2554
0	2556
0	2568
0	2580
0	2584
0	2590
0	2598
0	2646
0	2659
0	2661
0	2669
0	2693
0	2715
0	2823
0	2831
0	2876
0	2883
0	2884
0	2889
0	2895
0	2901
0	2914
0	2915
0	2941
0	2946
0	2954
0	2965
0	2986
1	1
1	93
1	243
1	284
1	285
1	344
1	355
1	372
1	376
1	384
1	386
1	402
1	506
1	515
1	517
1	625
1	660
1	749
1	811
1	840
1	844
1	851
1	857
1	885
1	916
1	924
1	985
1	1043
1	1046
1	1076
1	1091
1	1093
1	1101
1	1111
1	1145
1	1182
1	1192
1	1217
1	1284
1	1301
1	1320
1	1335
1	1337
1	1355
1	1368
1	1394
1	1444
1	1453
1	1564
1	1581
1	1646
1	1666
1	1677
1	1816
1	1844
1	1849
1	1866
1	1878
1	1919
1	1972
1	2014
1	2086
1	2097
1	2181
1	2206
1	2226
1	2337
1	2418
1	2460
1	2558
1	2567
1	2609
1	2657
1	2703
1	2743
1	2802
1	2818
1	2820
1	2822
1	2843
1	2873
1	2906
1	2943
1	2960
1	2995
2	2
2	105
2	172
2	196
2	261
2	356
2	357
2	364
2	411
2	468
2	492
2	511
2	538
2	544
2	566
2	676
2	677
2	704
2	727
2	748
2	813
2	847
2	907
2	954
2	1031
2	1040
2	1078
2	1129
2	1163
2	1210
2	1256
2	1271
2	1272
2	1305
2	1311
2	1318
2	1336
2	1340
2	1374
2	1378
2	1384
2	1463
2	1493
2	1495
2	1531
2	1546
2	1575
2	1647
2	1654
2	1656
2	1738
2	1768
2	1789
2	1814
2	1838
2	1876
2	1942
2	1952
2	2025
2	2051
2	2161
2	2191
2	2232
2	2369
2	2397
2	2455
2	2502
2	2521
2	2562
2	2563
2	2596
2	2623
2	2627
2	2634
2	2660
2	2666
2	2701
2	2708
2	2723
2	2748
2	2924
2	2932
2	2958
2	2963
2	1802
3	3
3	81
3	168
3	175
3	270
3	297
3	325
3	339
3	390
3	405
3	473
3	480
3	504
3	508
3	540
3	555
3	569
3	589
3	730
3	742
3	755
3	801
3	804
3	826
3	846
3	855
3	898
3	901
3	902
3	937
3	978
3	988
3	1011
3	1021
3	1054
3	1064
3	1073
3	1126
3	1160
3	1281
3	1294
3	1354
3	1358
3	1376
3	1407
3	1434
3	1449
3	1522
3	1550
3	1561
3	1693
3	1713
3	1743
3	1769
3	1802
3	1803
3	1905
3	1931
3	1932
3	1938
3	1943
3	1960
3	1963
3	1988
3	1997
3	2070
3	2096
3	2102
3	2107
3	2110
3	2114
3	2140
3	2149
3	2155
3	2176
3	2192
3	2245
3	2274
3	2344
3	2348
3	2350
3	2410
3	2415
3	2434
3	2451
3	2477
3	2489
3	2490
3	2699
3	2727
3	2736
3	2749
3	2758
3	2792
3	2834
3	2887
3	2919
3	2936
3	2947
3	2996
